Model,Accuracy,Inference Time (s),Parameters,Model Size (MB),Sparsity
Original ResNet18,0.1778,4.1913321250031,11181642,42.69135284423828,0.0
Pruned ResNet18,0.8049,1.9725025000007008,11181642,42.69135284423828,0.20000005370553897
