Experiment,Best Validation Accuracy,Final Train Accuracy,Final Validation Accuracy,Final Train Loss,Final Validation Loss,Training Time (s),Overfitting Gap
No Augmentation,0.7432,0.7064222222222222,0.7432,0.8375012239456177,0.7098949166297912,45.58919258299284,-0.0367777777777778
Color Jitter,0.721,0.6950888888888889,0.721,0.8702702569007874,0.7796360820770264,78.49540891699144,-0.025911111111111107
Rotation,0.7096,0.6557777777777778,0.6936,0.9776996082941691,0.8960614939689636,50.92124716700346,-0.0378222222222222
Random Crop,0.6822,0.6442888888888889,0.6822,1.0088944922765095,0.8797632947921753,59.34218099999998,-0.03791111111111112
Rotation + Crop,0.6574,0.5967777777777777,0.6574,1.1314925537321303,0.9515381718635559,57.01968554200721,-0.060622222222222244
Rotation + Crop + Color Jitter,0.6338,0.5692,0.6338,1.20665864338345,1.008083334350586,69.07060658399132,-0.06459999999999999
