Model,Accuracy,Inference Time (s),Parameters,Model Size (MB),Sparsity
Original ResNet18,0.1778,4.269032041003811,11181642,42.69135284423828,0.0
Pruned ResNet18,0.1808,1.76750895899022,11181642,42.69135284423828,0.20000005370553897
