iter	Logloss
0	0.6000014465
1	0.517335316
2	0.4542495699
3	0.3926992474
4	0.3492453045
5	0.3095567212
6	0.273314858
7	0.2426842992
8	0.2184915726
9	0.2002044017
10	0.1819544326
1111	0.1681454281212	0.1508764521313	0.1372685132
14	0.1253365461515	0.114062216	016	0.1043663071
17	0.0935623118	018	0.08609430621
19	0.0793027720	020	0.0741983821	021	0.0673362422	022	0.062083923	0.23	0.057643524	0.24	0.053874825	0.25	0.05020248052
26	0.046181727	0.27	0.042956828	0.28	0.040717429	0.29	0.038235530	0.30	0.035956831	0.31	0.03392782668
32	0.03229203627
33	0.03074203617
34	0.0297370127635	0.02804811005
36	0.0268762703
37	0.02563283796
38	0.02456013636
39	0.02344833966
40	0.02196368712
41	0.02107196375
42	0.02049941692
43	0.01949883271
44	0.01869407007
45	0.01818956951
46	0.01769158761
47	0.0169773624
48	0.01659340953
49	0.01590000117
50	0.0153825745
51	0.01479317725
52	0.01438457785
53	0.0139367579
54	0.01329051074
55	0.01284941875
56	0.01255916172
57	0.0123200365
58	0.01203496357
59	0.01177973514
60	0.01155826415
61	0.01112744447
62	0.01079216163
63	0.01051543583
64	0.01039903591
65	0.01011724463
66	0.009921519083
67	0.009714343808
68	0.00945472868
69	0.009153202965
70	0.008922772599
71	0.008778664362
72	0.008504769122
73	0.008356531332
74	0.008257603899
75	0.00812096179
76	0.007974667241
77	0.007779976787
78	0.007686566226
79	0.007524243914
80	0.007423353285
81	0.007329826601
82	0.007227256044
83	0.007155901032
84	0.007072601753
85	0.006973943084
86	0.00689167954
87	0.006834692803
88	0.006755959398
8989	0.005970107412
90	0.005897423656
91	0.00583053792	092	0.00576327693	093	0.00569955694	094	0.00563741795	095	0.005577911319
96	0.005535965735
97	0.005477657247
98	0.005420745641
99	0.005365145695
100	0.005310764545
101	0.005257671512
102	0.005205712776
103	0.005156888053
104	0.005109026115
105	0.005062115071
106	0.005016203042
107	0.004971168768
108	0.004925298933
109	0.004880236473
110	0.004836165225
111	0.004794619497
112	0.004752251747
113	0.004710683601
114	0.00467143988
115	0.004631421554
116	0.004593626182
117	0.004555091258
118	0.004517243568
119	0.004480112663
120	0.0044436678
121	0.004407846513
122	0.004372717264
123	0.004339369092
124	0.004306595383
125	0.004274358126	126	0.004242649127	127	0.004211459597
128	0.004180769834
129	0.004150564226
130	0.00412083013131	0.0040915770613132	0.004062725191133	0.0040343187613134	0.0040064105613135	0.0039788557013136	0.00395167591
137	0.0039249875713138	0.0038986558113139	0.003872678159
140	0.003847115938
141	0.003821900561
142	0.003797033928
143	0.003772575349
144	0.003748432061
145	0.00372459845
146	0.003701110888
147	0.003677930993
148	0.003655096422
149	0.0036325448150150	0.0036102818151151	0.0035883198152152	0.0035667081153	0.003930202428
1154	0.0035242882131155	0.0035033953715156	0.003482843731157	0.0034625798891158	0.0034425721071159	0.0034227934741160	0.0034032664951161	0.0033905078541162	0.003371335267
003897891434
